English,VietNamese
courage,lòng can đảm
dim,lờ mờ
guilt,có tội
howl,tru tréo
hum,kêu vo vo
husband,chồng
insult,sự sỉ nhục
led,dẫn đến
lunch,Bữa trưa
mock,chế nhạo
mostly,hầu hết
natural,Thiên nhiên
nearly,Gần
needle,cây kim
nerd,mọt sách
peaceful,hoà Bình
perfection,sự hoàn hảo
pile,Đóng cọc
price,giá
remove,tẩy
roam,đi lang thang
sanctuary,Thánh địa
serious,nghiêm trọng
shiny,sáng bóng
shook,lắc
sob,tiếng khóc nức nở
stolen,ăn cắp
tap,vô nhẹ
vain,hư không
void,khoảng trống
warrior,chiến binh
wrinkle,nhăn
affection,sự yêu mến
apologize,xin lỗi
band,ban nhạc
bind,trói buộc
blossom,hoa
bounce,nảy
bridge,cầu
bye,từ biệt
cheap,rẻ
cliché,cliché
crumble,bể nát ra
decision,quyết định
descend,xuống
desperately,tuyệt vọng
dig,đào
dot,chấm
flaw,lỗ hổng
flip,lật
frighten,hoảng sợ
heartbeat,nhịp tim
huge,khổng lồ
lazy,lười
lick,liếm
lower,thấp hơn
odd,số lẻ
opinion,ý kiến
process,quá trình
puzzle,câu đố
quietly,lặng lẽ
retreat,rút lui
rot,thúi
score,điểm
sentence,kết án
separate,tách rời
situation,tình hình
skill,kỹ năng
soak,ngâm
square,Quảng trường
stray,đi lạc
taint,mùi hôi thúi
task,bài tập
they've,họ đã
tide,nước triều
underneath,bên dưới
veil,mạng che mặt
whistle,còi
anywhere,nơi nào
bedroom,phòng ngủ
bid,đấu thầu
bloody,dính máu
boot,khởi động
burden,gánh nặng
careful,cẩn thận
compare,đối chiếu
concern,mối quan ngại
could've,có thể đã
curtain,tấm màn
decay,phân rã
defeat,đánh bại
describe,diễn tả
double,kép
dreamer,nằm chiêm bao
driver,tài xế
dwell,nhấn mạnh vấn đề
evening,tối
flare,bùng phát
flicker,nhấp nháy
grandma,bà nội
guitar,đàn ghi ta
harm,làm hại
hid,giấu
horrible,tệ hại
hung,treo
hungry,đói bụng
indeed,thật
lace,ren
melody,giai điệu
monkey,con khỉ
nation,dân tộc
object,sự vật
obviously,chắc chắn
pit,hố
rainbow,cầu vồng
salt,Muối
scratch,cào
shown,cho xem
shy,xấu hổ
stage,sân khấu
stun,gây choáng
third,ngày thứ ba
tickle,thọc cù lét
useless,vô ích
weakness,yếu đuối
worship,thờ cúng
worthless,vô giá trị
afternoon,buổi chiều
beard,râu
boyfriend,bạn trai
bubble,bọt nước
busy,bận
certain,chắc chắn
chin,cái cằm
concrete,bê tông
desk,bàn
diamond,kim cương
doom,sự chết
drawn,vẽ
due,quá hạn
felicity,hạnh phúc
freeze,Đông cứng
frost,sương giá
garden,sân vườn
glide,trượt
harmony,hòa hợp
hi,Chào
hopefully,hy vọng
hunt,săn bắn
it'd,nó muốn
jealous,ghen tuông
lightning,tia chớp
mama,má
mercy,nhân từ
peel,bóc
physical,thể lực
position,Chức vụ
pulse,xung
punch,cú đấm
quit,từ bỏ
rant,lời nói rổng tuếch
respond,đáp ứng
salty,mặn
sane,lành mạnh
satisfy,thỏa mãn
savior,vị cứu tinh
sheep,con cừu
slept,đã ngủ
social,xã hội
sore,nhức nhối
sport,thể thao
tuck,lằn xếp
utter,utter
valley,thung lũng
wolf,chó sói
aid,sự giúp đỡ
aim,mục tiêu
alas,than ôi
alter,ALTER
America,Mỹ
arrow,mũi tên
awaken,thức tỉnh
beaten,đánh
belief,sự tin tưởng
brand,thương hiệu
ceiling,Trần nhà
cheese,phô mai
clue,đầu mối
confidence,sự tự tin
connection,sự liên quan
daily,hằng ngày
disguise,ngụy trang
eager,háo hức
erase,xóa
essence,Bản chất
everytime,mỗi lần
expression,biểu hiện
fan,quạt
flag,lá cờ
flirt,thả thính
foul,Hôi
fur,lông thú
giggle,cười khúc khích
glorious,vẻ vang
hers,của cô ấy
ignorance,dốt nát
law,luật
lifeless,không hoạt động
measure,đo lường
mighty,vĩ đại
muse,ngân nga
north,Bắc
opposite,trái ngược
paradise,thiên đường
patience,kiên nhẫn
patient,bệnh nhân
pencil,cây bút chì
petal,cánh hoa
plane,chiếc máy bay
plate,đĩa ăn
ponder,suy ngẫm
possibly,có khả năng
practice,luyện tập
slice,lát cắt
slut,đĩ
spell,Đánh vần
stock,cổ phần
strife,sự xung đột
strip,dải
struck,tấn công
suffocate,làm ngộp thở
suit,bộ đồ
tender,mềm
tool,dụng cụ
trade,buôn bán
velvet,nhung
verse,thơ
waist,thắt lưng
witch,bà phù thủy
worn,rách nát
ah,Ah
aunt,dì
bay,Vịnh
bench,Băng ghế
bold,Dũng cảm
cap,mũ lưỡi trai
certainly,chắc chắn
click,nhấp chuột
companion,bạn đồng hành
condom,bao cao su
creator,người sáng tạo
dart,nọc ong chích
delicate,mong manh
determine,mục đích
dish,món ăn
dragon,con rồng
drama,kịch
drum,cái trống
dude,anh bạn
everybody,mọi người
feast,tiệc
forehead,trán
former,trước
fright,người xấu xí
fully,đầy đủ
gas,khí ga
gut,ruột
hook,cái móc
hurl,quăn
ill,tôi sẽ
invite,mời gọi
juice,Nước ép
manage,quản lý
moral,có đạo đức
pill,Viên thuốc
possess,có
raw,sống
rebel,phiến loạn
royal,Hoàng gia
scale,tỉ lệ
scary,đáng sợ
several,vài
slight,mảnh dẻ
stubborn,bướng bỉnh
swell,sưng lên
talent,tài năng
tea,trà
terrible,khủng khiếp
they'd,họ muốn
thread,chủ đề
thy,của mày
torment,đau đớn
trickle,tia nước
usually,thông thường
vast,rộng lớn
violence,bạo lực
weave,cách dệt
yea,Vâng
acid,chua
agony,đau đớn
ashamed,hổ thẹn
awe,kinh sợ
belly,bụng
blend,trộn
blush,sắc hồng
Catholic,Công giáo
character,tính cách
cheat,lừa đảo
common,chung
company,Công ty
coward,nhát gan
creak,tiếng kêu kèn kẹt
danger,sự nguy hiểm
deadly,chết người
defense,phòng thủ
define,định nghĩa
depend,lệ thuộc
desperate,tuyệt vọng
destination,Nơi Đến
dew,sương
duck,Vịt
dusty,nhiều bụi
embarrass,lúng túng
engine,động cơ
example,thí dụ
explore,khám phá
foe,kẻ thù
freely,tự do
frustrate,làm hỏng
generation,thế hệ
glove,găng tay
guilty,có tội
hasn't,có không
health,Sức khỏe
hurry,sự vội vàng
idiot,thằng ngốc
impossible,Không thể nào
inhale,hít vào
jaw,hàm
kingdom,Vương quốc
mention,đề cập đến
mist,sương mù
moan,kêu van
mumble,lời nói lầm bầm
mutter,lầm bầm
observe,quan sát
ode,bài thơ ngắn để hát
pathetic,đáng thương hại
pattern,mẫu
pie,bánh
prefer,thích hơn
puff,phun
rape,hãm hiếp
rare,hiếm
revenge,sự trả thù
rude,thô lỗ
scrape,tiện tặn
sip,một hớp
spiral,đường xoắn ốc
squeeze,vắt kiệt
strain,sự căng thẳng
sunset,Hoàng hôn
suspend,đình chỉ
sympathy,cảm thông
thigh,bắp vế
thou,mầy
throne,ngai vàng
total,toàn bộ
unseen,không thấy
weapon,vũ khí
weary,mệt mỏi
